,id_university,university_name
0,111,UNIVERSITAS SYIAH KUALA
1,112,UNIVERSITAS MALIKUSSALEH
2,113,UNIVERSITAS TEUKU UMAR
3,114,UNIVERSITAS SAMUDRA
4,115,ISBI ACEH
5,116,UNIVERSITAS ISLAM NEGERI AR-RANIRY
6,121,UNIVERSITAS SUMATERA UTARA
7,122,UNIVERSITAS NEGERI MEDAN
8,123,UNIVERSITAS ISLAM NEGERI SUMATERA UTARA
9,131,UNIVERSITAS RIAU
10,132,UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM
11,133,UNIVERSITAS MARITIM RAJA ALI HAJI
12,141,UNIVERSITAS ANDALAS
13,142,UNIVERSITAS NEGERI PADANG
14,143,ISI PADANG PANJANG
15,151,UNIVERSITAS JAMBI
16,161,UNIVERSITAS BENGKULU
17,171,UNIVERSITAS SRIWIJAYA
18,172,UNIVERSITAS ISLAM NEGERI RADEN FATAH
19,181,UNIVERSITAS BANGKA BELITUNG
20,191,UNIVERSITAS LAMPUNG
21,192,INSTITUT TEKNOLOGI SUMATERA
22,311,UNIVERSITAS SULTAN AGENG TIRTAYASA
23,321,UNIVERSITAS INDONESIA
24,322,UNIVERSITAS ISLAM NEGERI JAKARTA
25,323,UNIVERSITAS NEGERI JAKARTA
26,324,"UPN ""VETERAN"" JAKARTA"
27,331,UNIVERSITAS SINGAPERBANGSA KARAWANG
28,332,INSTITUT TEKNOLOGI BANDUNG
29,333,UNIVERSITAS PADJADJARAN
30,334,UNIVERSITAS PENDIDIKAN INDONESIA
31,335,ISBI BANDUNG
32,336,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI
33,341,INSTITUT PERTANIAN BOGOR
34,342,UNIVERSITAS SILIWANGI
35,351,UNIVERSITAS JENDERAL SOEDIRMAN
36,352,UNIVERSITAS TIDAR
37,353,UNIVERSITAS SEBELAS MARET
38,354,ISI SURAKARTA
39,355,UNIVERSITAS DIPONEGORO
40,356,UNIVERSITAS NEGERI SEMARANG
41,357,UNIVERSITAS ISLAM NEGERI WALISONGO
42,361,UNIVERSITAS GADJAH MADA
43,362,UNIVERSITAS NEGERI YOGYAKARTA
44,363,"UPN ""VETERAN"" YOGYAKARTA"
45,364,ISI YOGYAKARTA
46,365,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA
47,371,UNIVERSITAS JEMBER
48,372,UNIVERSITAS BRAWIJAYA
49,373,UNIVERSITAS NEGERI MALANG
50,374,UNIVERSITAS ISLAM NEGERI MALANG
51,381,UNIVERSITAS AIRLANGGA
52,382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER
53,383,UNIVERSITAS NEGERI SURABAYA
54,384,UNIVERSITAS TRUNOJOYO MADURA
55,385,"UPN ""VETERAN"" JAWA TIMUR"
56,386,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA
57,511,UNIVERSITAS TANJUNGPURA
58,521,UNIVERSITAS PALANGKARAYA
59,531,UNIVERSITAS LAMBUNG MANGKURAT
60,541,UNIVERSITAS MULAWARMAN
61,542,INSTITUT TEKNOLOGI KALIMANTAN
62,551,UNIVERSITAS BORNEO TARAKAN
63,611,UNIVERSITAS UDAYANA
64,612,UNIVERSITAS PENDIDIKAN GANESHA
65,613,ISI DENPASAR
66,621,UNIVERSITAS MATARAM
67,631,UNIVERSITAS NUSA CENDANA
68,632,UNIVERSITAS TIMOR
69,711,UNIVERSITAS HASANUDDIN
70,712,UNIVERSITAS NEGERI MAKASSAR
71,713,UNIVERSITAS ISLAM NEGERI ALAUDDIN
72,721,UNIVERSITAS SAM RATULANGI
73,722,UNIVERSITAS NEGERI MANADO
74,731,UNIVERSITAS TADULAKO
75,741,UNIVERSITAS SULAWESI BARAT
76,751,UNIVERSITAS HALUOLEO
77,752,UNIVERSITAS NEGERI GORONTALO
78,753,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA
79,811,UNIVERSITAS PATTIMURA
80,821,UNIVERSITAS KHAIRUN
81,911,UNIVERSITAS CENDERAWASIH
82,912,UNIVERSITAS MUSAMUS MERAUKE
83,913,ISBI TANAH PAPUA
84,921,UNIVERSITAS PAPUA
